연번,구분,종별,지정번호,명칭,구군,소재지,데이터기준일
1,국가지정(6),보물,112호,중흥산성 삼층석탑,옥룡면,옥룡면 중흥로 263-100,2022-07-27
2,국가지정(6),사적,407호,광양 옥룡사지,옥룡면,옥룡면 추산리 산35-1 외 21필지,2022-07-27
3,국가지정(6),사적,492호,광양 마로산성,광양읍,광양읍 용강리 산78번지 외 1필지,2022-07-27
4,국가지정(6),천연기념물,235호,광양읍수와 이팝나무,광양읍,광양읍 인동리 193-1 외 40필지,2022-07-27
5,국가지정(6),천연기념물,489호,광양 옥룡사 동백나무 숲,옥룡면,"옥룡면 추산리 산35-1, 35-3",2022-07-27
6,국가지정(6),국가무형문화재,60호,장도장,광양읍,광양읍 매천로 771,2022-07-27
7,국가등록(4),등록문화재,223호,광양서울대학교 남부연습림 관사,광양읍,광양읍 매천로 797,2022-07-27
8,국가등록(4),등록문화재,341호,윤동주 유고 보존 정병욱 가옥,진월면,진월면 망덕길 249,2022-07-27
9,국가등록(4),등록문화재,444호,구 광양군청,광양읍,광양읍 매천로 829,2022-07-27
10,국가등록(4),등록문화재,739호,광양 구 진월면사무소,진월면,진월면 선소중앙길 31,2022-07-27
11,도지정(18),기념물,113호,광양 김 시식지,태인동,광양시 김시식지1길 57-6,2022-07-27
12,도지정(18),기념물,117호,광양 불암산성,진상면,진상면 비평리 산38번지 외 3필지,2022-07-27
13,도지정(18),기념물,178호,광양 중흥산성,옥룡면,옥룡면 운평리 산22번지 외 11필지,2022-07-27
14,도지정(18),기념물,225호,광양 신재 최산두 선생 유허비,광양읍,광양읍 신재로 110,2022-07-27
15,도지정(18),기념물,240호,광양 산남리 남정 지석묘군,옥룡면,옥룡면 산남리 산11-1 외 4필지,2022-07-27
16,도지정(18),유형문화재,40호,옥홀,광양읍,"광양읍 서평1길99, 매화주공 106-806",2022-07-27
17,도지정(18),유형문화재,5호,광양 성황리 삼층석탑,성황동,광양시 용장길 220,2022-07-27
18,도지정(18),유형문화재,111호,광양향교,광양읍,광양읍 향교길 67,2022-07-27
19,도지정(18),유형문화재,142호,중흥사 석조지장보살 반가상,옥룡면,옥룡면 중흥로 263-100,2022-07-27
20,도지정(18),유형문화재,182호,광양 송천사지 회은장로비,옥룡면,옥룡면 동곡리 산196-1 외 2필지,2022-07-27
21,도지정(18),유형문화재,212호,차문절공 유사목판,옥룡면,옥룡면 신재로 878,2022-07-27
22,도지정(18),유형문화재,317호,광양 백운사 목조 아미타여래좌상 및 복장유물,옥룡면,옥룡면 백운사길 352,2022-07-27
23,도지정(18),유형문화재,350호,광양 최산두 종가 고문서,광양읍,광양읍 서평1길 25-1,2022-07-27
24,도지정(18),문화재자료,211호,광양 무등암 목조대세지 보살좌상,진상면,진상면 학연로 10,2022-07-27
25,도지정(18),문화재자료,263호,광양 진월 신아리 보루,진월면,진월면 신아리 산4번지 외 1필지,2022-07-27
26,도지정(18),문화재자료,262호,광양 다압 섬진진터 석비좌대,다압면,다압면 섬진강매화로 1497,2022-07-27
27,도지정(18),무형문화재,12호,광양 궁시장,광양읍,광양읍 유당로 224-19,2022-07-27
28,도지정(18),무형문화재,57호,광양 진월 전어잡이 소리,진월면,진월면 신답길 90-411,2022-07-27
